Bečváry | 281 43 
Bělušice | 280 02 
Břežany I | 280 02 
Břežany II | 282 01 
Býchory | 280 02 
Cerhenice | 281 02 
Církvice | 281 44 
Červené Pečky | 281 21 
Český Brod | 282 01 
Dobřichov | 289 11 
Dolní Chvatliny | 281 44 
Dománovice | 280 02 
Doubravčice | 282 01 
Drahobudice | 281 44 
Grunta | 280 02 
Horní Kruty | 281 46 
Hradešín | 282 01 
Choťovice | 289 05 
Chotutice | 281 03 
Chrášťany | 282 01 
Jestřabí Lhota | 280 02 
Kbel | 280 02 
Klášterní Skalice | 281 63 
Klučov | 282 01 
Kolín | 280 02 
Konárovice | 281 25 
Kořenice | 280 02 
Kouřim | 281 61 
Krakovany | 281 27 
Krupá | 281 63 
Krychnov | 280 02 
Křečhoř | 280 02 
Kšely | 282 01 
Libenice | 280 02 
Libodřice | 280 02 
Lipec | 281 26 
Lošany | 280 02 
Malotice | 281 63 
Masojedy | 282 01 
Mrzky | 282 01 
Nebovidy | 280 02 
Němčice | 280 02 
Nová Ves I | 280 02 
Ohaře | 281 30 
Ovčáry | 280 02 
Pašinka | 280 02 
Pečky | 289 11 
Plaňany | 281 04 
Pňov-Předhradí | 289 41 
Polepy | 280 02 
Polní Chrčice | 280 02 
Polní Voděrady | 280 02 
Poříčany | 289 14 
Přehvozdí | 281 63 
Přistoupim | 282 01 
Přišimasy | 282 01 
Radim | 281 03 
Radovesnice I | 280 02 
Radovesnice II | 281 28 
Ratboř | 281 41 
Ratenice | 289 11 
Rostoklaty | 281 71 
Skvrňov | 281 44 
Starý Kolín | 281 23 
Svojšice | 281 07 
Tatce | 289 11 
Tismice | 282 01 
Toušice | 281 63 
Třebovle | 281 63 
Tři Dvory | 280 02 
Tuchoraz | 282 01 
Tuklaty | 250 82 
Týnec nad Labem | 281 26 
Uhlířská Lhota | 281 26 
Veletov | 280 02 
Velim | 281 01 
Velký Osek | 281 51 
Veltruby | 280 02 
Vitice | 281 06 
Volárna | 280 02 
Vrátkov | 282 01 
Vrbčany | 280 02 
Zalešany | 280 02 
Zásmuky | 281 44 
Žabonosy | 280 02 
Ždánice | 281 63 
Žehuň | 289 05 
Žiželice | 281 29
-
Adamov | 286 01 
Bernardov | 284 01 
Bílé Podolí | 285 72 
Bludov | 286 01 
Bohdaneč | 285 25 
Brambory | 286 01 
Bratčice | 286 01 
Církvice | 285 33 
Čáslav | 286 01 
Čejkovice | 286 01 
Černíny | 284 01 
Červené Janovice | 285 42 
Čestín | 285 10 
Dobrovítov | 286 01 
Dolní Pohleď | 285 22 
Drobovice | 286 01 
Hlízov | 285 32 
Horka I | 286 01 
Horka II | 285 22 
Horky | 286 01 
Horušice | 285 73 
Hostovlice | 285 62 
Hraběšín | 286 01 
Chabeřice | 285 22 
Chlístovice | 284 01 
Chotusice | 285 76 
Kácov | 285 09 
Kluky | 286 01 
Kobylnice | 284 01 
Košice | 285 04 
Krchleby | 286 01 
Křesetice | 285 47 
Kutná Hora | 284 01 
Ledečko | 285 06 
Malešov | 285 41 
Miskovice | 285 01 
Močovice | 286 01 
Nepoměřice | 285 11 
Nové Dvory | 285 31 
Okřesaneč | 286 01 
Onomyšl | 285 04 
Opatovice I | 286 01 
Paběnice | 285 43 
Pertoltice | 285 22 
Petrovice I | 286 01 
Petrovice II | 285 22 
Podveky | 285 06 
Potěhy | 285 63 
Rašovice | 285 04 
Rataje nad Sázavou | 285 07 
Rohozec | 284 01 
Řendějov | 285 22 
Samopše | 285 06 
Semtěš | 286 01 
Schořov | 286 01 
Slavošov | 285 22 
Soběšín | 285 06 
Souňov | 286 01 
Staňkovice | 285 04 
Starkoč | 286 01 
Sudějov | 285 04 
Suchdol | 285 02 
Svatý Mikuláš | 284 01 
Šebestěnice | 286 01 
Štipoklasy | 284 01 
Třebešice | 286 01 
Třebětín | 285 22 
Třebonín | 286 01 
Tupadly | 285 63 
Uhlířské Janovice | 285 04 
Úmonín | 285 46 
Úžice | 285 04 
Vavřinec | 285 04 
Vidice | 284 01 
Vinaře | 286 01 
Vlačice | 286 01 
Vlastějovice | 285 22 
Vlkaneč | 285 64 
Vodranty | 286 01 
Vrdy | 285 71 
Záboří nad Labem | 285 74 
Zbizuby | 285 04 
Zbraslavice | 285 21 
Zbýšov | 285 65 
Zruč nad Sázavou | 285 22 
Žáky | 286 01 
Žehušice | 285 75 
Žleby | 285 61
-
Býkev | 276 01 
Byšice | 277 32 
Cítov | 277 04 
Čakovičky | 250 63 
Čečelice | 277 32 
Dobřeň | 277 21 
Dolany | 278 01 
Dolní Beřkovice | 277 01 
Dolní Zimoř | 277 21 
Dřínov | 277 45 
Horní Počaply | 277 03 
Hořín | 276 01 
Hostín | 277 32 
Hostín u Vojkovic | 277 44 
Chlumín | 277 43 
Chorušice | 277 37 
Chvatěruby | 278 01 
Jeviněves | 277 05 
Kadlín | 277 35 
Kanina | 277 35 
Kly | 277 41 
Kojetice | 250 72 
Kokořín | 277 23 
Kostelec nad Labem | 277 13 
Kozomín | 277 45 
Kralupy nad Vltavou | 278 01 
Ledčice | 277 08 
Lhotka | 276 01 
Liběchov | 277 21 
Libiš | 277 11 
Liblice | 277 32 
Lobeč | 277 36 
Lužec nad Vltavou | 277 06 
Malý Újezd | 276 01 
Medonosy | 277 21 
Mělnické Vtelno | 277 38 
Mělník | 276 01 
Mšeno | 277 35 
Nebužely | 277 34 
Nedomice | 277 14 
Nelahozeves | 277 51 
Neratovice | 277 11 
Nosálov | 277 35 
Nová Ves | 277 52 
Obříství | 277 42 
Olovnice | 273 26 
Ovčáry | 277 14 
Postřižín | 250 70 
Řepín | 277 33 
Spomyšl | 277 05 
Stránka | 277 35 
Střemy | 277 34 
Tišice | 277 15 
Tuhaň | 277 41 
Tupadly | 277 21 
Újezdec | 277 45 
Úžice | 277 45 
Velký Borek | 276 01 
Veltrusy | 277 46 
Vidim | 277 21 
Vojkovice | 277 44 
Vraňany | 277 07 
Všestudy | 277 46 
Všetaty | 277 16 
